"set","source_path","size_bytes","modified_utc","reason"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_amount_asset_s_dstChain_timestamp\rc_uot_q\transport_matrix.npz","110652950","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_amount_asset_s_timestamp\rc_uot_q\transport_matrix.npz","110717547","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_amount_dstChain\rc_uot_q\transport_matrix.npz","110667406","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_amount_dstChain_timestamp\rc_uot_q\transport_matrix.npz","110652950","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_amount_timestamp\rc_uot_q\transport_matrix.npz","110717547","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_asset_s\rc_uot_q\transport_matrix.npz","110541911","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_asset_s_dstChain\rc_uot_q\transport_matrix.npz","110467020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_asset_s_dstChain_timestamp\rc_uot_q\transport_matrix.npz","110495245","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_asset_s_timestamp\rc_uot_q\transport_matrix.npz","110574638","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_dstChain\rc_uot_q\transport_matrix.npz","110467020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_dstChain_timestamp\rc_uot_q\transport_matrix.npz","110495245","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver\rc_uot_q\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_amount\rc_uot_q\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_amount_asset_s\rc_uot_q\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_amount_asset_s_dstChain\rc_uot_q\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_amount_asset_s_dstChain_timestamp\rc_uot_q\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_amount_asset_s_timestamp\rc_uot_q\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_amount_dstChain\rc_uot_q\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_amount_dstChain_timestamp\rc_uot_q\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_amount_timestamp\rc_uot_q\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_asset_s\rc_uot_q\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_asset_s_dstChain\rc_uot_q\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_asset_s_dstChain_timestamp\rc_uot_q\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_asset_s_timestamp\rc_uot_q\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_dstChain\rc_uot_q\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_dstChain_timestamp\rc_uot_q\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_receiver_timestamp\rc_uot_q\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\combo_timestamp\rc_uot_q\transport_matrix.npz","110574638","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\id_anchor_masked\rc_uot_q\transport_matrix.npz","110541911","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3_frozen_main\masks\no_all_bridge_semantics\rc_uot_q\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_amount\transport_matrix.npz","110737163","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_amount_asset_s\transport_matrix.npz","110737163","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_amount_asset_s_dstChain\transport_matrix.npz","110667406","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_amount_asset_s_dstChain_timestamp\transport_matrix.npz","110652950","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_amount_asset_s_timestamp\transport_matrix.npz","110717547","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_amount_dstChain\transport_matrix.npz","110667406","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_amount_dstChain_timestamp\transport_matrix.npz","110652950","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_amount_timestamp\transport_matrix.npz","110717547","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_asset_s\transport_matrix.npz","110541911","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_asset_s_dstChain\transport_matrix.npz","110467020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_asset_s_dstChain_timestamp\transport_matrix.npz","110495245","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_asset_s_timestamp\transport_matrix.npz","110574638","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_dstChain\transport_matrix.npz","110467020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_dstChain_timestamp\transport_matrix.npz","110495245","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_amount\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_amount_asset_s\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_amount_asset_s_dstChain\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_amount_asset_s_dstChain_timestamp\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_amount_asset_s_timestamp\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_amount_dstChain\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_amount_dstChain_timestamp\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_amount_timestamp\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_asset_s\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_asset_s_dstChain\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_asset_s_dstChain_timestamp\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_asset_s_timestamp\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_dstChain\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_dstChain_timestamp\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_receiver_timestamp\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\combo_timestamp\transport_matrix.npz","110574638","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\no_all_bridge_semantics\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3_v3b_package\v3b_high_f1_supplement\transport_cache\no_bridge_metadata_chain_observables_retained\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_amount\transport_matrix.npz","110737163","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_amount_asset_s\transport_matrix.npz","110737163","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_amount_asset_s_dstChain\transport_matrix.npz","110667406","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_amount_asset_s_dstChain_timestamp\transport_matrix.npz","110652950","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_amount_asset_s_timestamp\transport_matrix.npz","110717547","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_amount_dstChain\transport_matrix.npz","110667406","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_amount_dstChain_timestamp\transport_matrix.npz","110652950","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_amount_timestamp\transport_matrix.npz","110717547","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_asset_s\transport_matrix.npz","110541911","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_asset_s_dstChain\transport_matrix.npz","110467020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_asset_s_dstChain_timestamp\transport_matrix.npz","110495245","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_asset_s_timestamp\transport_matrix.npz","110574638","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_dstChain\transport_matrix.npz","110467020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_dstChain_timestamp\transport_matrix.npz","110495245","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_amount\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_amount_asset_s\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_amount_asset_s_dstChain\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_amount_asset_s_dstChain_timestamp\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_amount_asset_s_timestamp\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_amount_dstChain\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_amount_dstChain_timestamp\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_amount_timestamp\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_asset_s\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_asset_s_dstChain\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_asset_s_dstChain_timestamp\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_asset_s_timestamp\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_dstChain\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_dstChain_timestamp\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_receiver_timestamp\transport_matrix.npz","93992243","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\combo_timestamp\transport_matrix.npz","110574638","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\no_all_bridge_semantics\transport_matrix.npz","94107431","","ext-excluded:.npz"
"BL","out\baseline_compare\bridge_semantic_ablation_v3b_high_f1\transport_cache\no_bridge_metadata_chain_observables_retained\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\connector_phase1\pred_tx_pairs_connector_native_shared_pool_raw.csv","1745518","2026-06-10T13:47:59Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BL","out\baseline_compare\labels\candidate_bnb_tx_flow_memberships.csv","1316181","2026-06-10T13:02:22Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BL","out\baseline_compare\labels\candidate_bnb_universe_flows.csv","4290541","2026-06-10T13:02:21Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BL","out\baseline_compare\labels\candidate_eth_universe_flows.csv","2220324","2026-06-10T13:02:22Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BL","out\baseline_compare\labels\gt_flow_pairs.csv","1306033","2026-06-10T12:58:39Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BL","out\baseline_compare\labels\gt_tx_pairs.csv","1078748","2026-06-10T12:58:38Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BL","out\baseline_compare\labels\tx_to_flow_map_lao.csv","2608518","2026-06-10T12:58:38Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BL","out\baseline_compare\routeA_symmetric_masking\connector\full_native\predictions_raw_top1.csv","1086241","2026-06-10T14:35:06Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BL","out\baseline_compare\routeA_symmetric_masking\connector\id_anchor_masked\predictions_raw_top1.csv","1122691","2026-06-10T14:37:22Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BL","out\baseline_compare\routeA_symmetric_masking\rc_uot_q\id_anchor_masked\transport_matrix.npz","110541911","","ext-excluded:.npz"
"BL","out\baseline_compare\routeA_symmetric_masking\rc_uot_q\no_amount\transport_matrix.npz","110737163","","ext-excluded:.npz"
"BL","out\baseline_compare\routeA_symmetric_masking\rc_uot_q\no_receiver\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\routeA_symmetric_masking\rc_uot_q\no_receiver_no_amount\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BL","out\baseline_compare\routeA_symmetric_masking_v2\rc_uot_q\id_anchor_masked\transport_matrix.npz","110541911","","ext-excluded:.npz"
"BL","out\baseline_compare\routeA_symmetric_masking_v2\rc_uot_q\no_amount\transport_matrix.npz","110737163","","ext-excluded:.npz"
"BL","out\baseline_compare\routeA_symmetric_masking_v2\rc_uot_q\no_receiver\transport_matrix.npz","93984020","","ext-excluded:.npz"
"BL","out\baseline_compare\routeA_symmetric_masking_v2\rc_uot_q\no_receiver_no_amount\transport_matrix.npz","94141258","","ext-excluded:.npz"
"BSC","out\bsc_open_independent_v1\connector_adapter_dst.parquet","1772345","","ext-excluded:.parquet"
"BSC","out\bsc_open_independent_v1\connector_adapter_src.parquet","3310023","","ext-excluded:.parquet"
"BSC","out\bsc_open_independent_v1\connector_pairs.csv","1214038","2026-08-06T08:21:12Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BSC","out\bsc_open_independent_v1\stage2_split\chronological_split_assignments.csv","1218098","2026-08-03T11:17:50Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BSC","out\bsc_open_independent_v1\stage3_collection\parsed_relay_events_dev.csv","4681400","2026-08-03T11:32:44Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BSC","out\bsc_open_independent_v1\stage3_collection\parsed_relay_events_dev_with_ts.csv","4882441","2026-08-03T11:42:53Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BSC","out\bsc_open_independent_v1\stage3_collection\raw_relay_logs_dev.json","16443319","2026-08-03T11:32:44Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BSC","out\bsc_open_independent_v1\stage5_5_candidate_completion\parsed_completion_events_dev.csv","4917927","2026-08-03T12:19:13Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BSC","out\bsc_open_independent_v1\stage5_5_candidate_completion\parsed_relay_events_dev_v2.csv","3695286","2026-08-03T12:22:57Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BSC","out\bsc_open_independent_v1\stage5_5_candidate_completion\parsed_relay_events_dev_v2_with_ts.csv","3896283","2026-08-03T12:33:16Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BSC","out\bsc_open_independent_v1\stage5_5_candidate_completion\raw_completion_logs_dev.json","18251568","2026-08-03T12:19:14Z","size-cap-1MB:raw/intermediate-data-manifest-only"
"BSC","out\bsc_open_independent_v1\stage5_5_candidate_completion\raw_relay_logs_dev_v2.json","16513804","2026-08-03T12:22:57Z","size-cap-1MB:raw/intermediate-data-manifest-only"
