"package_path","size_bytes","ext"
"core_results\C_baseline_table4\normalized_metric_table.csv","2183",".csv"
"core_results\C_baseline_table4\pareto_frontier_table.csv","382",".csv"
"core_results\C_baseline_table4\phase29_config.json","1439",".json"
"core_results\C_baseline_table4\precision_f1_pareto_gate.json","868",".json"
"core_results\C_baseline_table4\strict_superiority_gate.json","99",".json"
"core_results\D_multi_bridge\Celer\abctracer_test_metrics.json","731",".json"
"core_results\D_multi_bridge\Celer\connector_test_metrics.json","835",".json"
"core_results\D_multi_bridge\Celer\rc_uot_q_test_metrics.json","1227",".json"
"core_results\D_multi_bridge\coverage_precision.csv","1414",".csv"
"core_results\D_multi_bridge\coverage_precision.json","5629",".json"
"core_results\D_multi_bridge\HONEST_SUMMARY.md","3419",".md"
"core_results\D_multi_bridge\Multi\abctracer_test_metrics.json","750",".json"
"core_results\D_multi_bridge\Multi\connector_test_metrics.json","835",".json"
"core_results\D_multi_bridge\Multi\rc_uot_q_test_metrics.json","1245",".json"
"core_results\D_multi_bridge\Multi\test_metrics.json","1423",".json"
"core_results\D_multi_bridge\paper_comparison.csv","1386",".csv"
"core_results\D_multi_bridge\paper_comparison.md","1245",".md"
"core_results\D_multi_bridge\Poly\abctracer_test_metrics.json","714",".json"
"core_results\D_multi_bridge\Poly\connector_test_metrics.json","835",".json"
"core_results\D_multi_bridge\Poly\rc_uot_q_test_metrics.json","1240",".json"
"core_results\D_multi_bridge\Poly\test_metrics.json","1420",".json"
"core_results\D_multi_bridge\summary.csv","1376",".csv"
"core_results\E_audit_v4\blocks\b01\stageA.json","611",".json"
"core_results\E_audit_v4\blocks\b02\stageA.json","611",".json"
"core_results\E_audit_v4\blocks\b03\stageA.json","611",".json"
"core_results\E_audit_v4\blocks\b04\stageA.json","611",".json"
"core_results\E_audit_v4\blocks\b05\stageA.json","611",".json"
"core_results\E_audit_v4\blocks\b06\stageA.json","611",".json"
"core_results\E_audit_v4\blocks\b07\stageA.json","611",".json"
"core_results\E_audit_v4\blocks\b08\stageA.json","611",".json"
"core_results\E_audit_v4\blocks\b09\stageA.json","611",".json"
"core_results\E_audit_v4\blocks\b10\stageA.json","611",".json"
"core_results\E_audit_v4\blocks\b11\stageA.json","611",".json"
"core_results\E_audit_v4\blocks\b12\stageA.json","611",".json"
"core_results\E_audit_v4\cumulative_adequacy.json","6062",".json"
"core_results\E_audit_v4\primary_source_unit_list_v4.json","621712",".json"
"core_results\E_audit_v4\v4_final_report.json","1399",".json"
"core_results\E_audit_v5\blocks\b01\stageA.json","611",".json"
"core_results\E_audit_v5\blocks\b02\stageA.json","611",".json"
"core_results\E_audit_v5\blocks\b03\stageA.json","611",".json"
"core_results\E_audit_v5\blocks\b04\stageA.json","611",".json"
"core_results\E_audit_v5\blocks\b05\stageA.json","611",".json"
"core_results\E_audit_v5\blocks\b06\stageA.json","611",".json"
"core_results\E_audit_v5\blocks\b07\stageA.json","611",".json"
"core_results\E_audit_v5\blocks\b08\stageA.json","611",".json"
"core_results\E_audit_v5\blocks\b09\stageA.json","611",".json"
"core_results\E_audit_v5\blocks\b10\stageA.json","611",".json"
"core_results\E_audit_v5\blocks\b11\stageA.json","611",".json"
"core_results\E_audit_v5\blocks\b12\stageA.json","611",".json"
"core_results\E_audit_v5\cumulative_adequacy.json","10402",".json"
"core_results\E_audit_v5\V5_CLUSTER_SUMMARY.csv","468",".csv"
"core_results\E_audit_v5\V5_COLLECTION_LOG.md","7353",".md"
"core_results\E_audit_v5\V5_DATA_ADEQUACY_REPORT.md","732",".md"
"core_results\E_audit_v5\V5_DATA_MANIFEST.json","661",".json"
"core_results\E_audit_v5\V5_DISJOINTNESS_REPORT.md","10767",".md"
"core_results\E_audit_v5\v5_preregistration\V5_CORPUS_SPEC.md","6503",".md"
"core_results\E_audit_v5\v5_preregistration\V5_COUNTING_DEFINITIONS.md","3012",".md"
"core_results\E_audit_v5\v5_preregistration\V5_DATA_ACCRUAL_PREREGISTRATION.md","5001",".md"
"core_results\E_audit_v5\v5_preregistration\V5_DATA_ADEQUACY_DESIGN.md","3994",".md"
"core_results\E_audit_v5\v5_preregistration\V5_DESIGN_OVERVIEW.md","8394",".md"
"core_results\E_audit_v5\v5_preregistration\V5_DISJOINTNESS_PROTOCOL.md","3725",".md"
"core_results\E_audit_v5\v5_preregistration\V5_EXECUTION_MACHINERY.md","4712",".md"
"core_results\E_audit_v5\v5_preregistration\V5_HASH_MANIFEST.json","2747",".json"
"core_results\F_fixed_delay_main_table\appendix_table_fixed_delay_anchor_audit.md","3418",".md"
"core_results\F_fixed_delay_main_table\final_paper_readiness_manifest.json","2149",".json"
"core_results\F_fixed_delay_main_table\final_paper_readiness_manifest.md","671",".md"
"core_results\F_fixed_delay_main_table\fixed_delay_anchor_audit_summary.json","30553",".json"
"core_results\F_fixed_delay_main_table\fixed_delay_anchor_audit_table_clean.json","7783",".json"
"core_results\F_fixed_delay_main_table\fixed_delay_anchor_audit_table_clean.md","2425",".md"
"core_results\F_fixed_delay_main_table\fixed_delay_anchor_mask_report.json","4025",".json"
"core_results\F_fixed_delay_main_table\fixed_delay_leakage_sanity_check.json","191",".json"
"core_results\F_fixed_delay_main_table\fixed_delay_permuted_gt_control.json","3734",".json"
"core_results\F_fixed_delay_main_table\main_table_rc_uot_q_fixed_delay.json","3220",".json"
"core_results\F_fixed_delay_main_table\main_table_rc_uot_q_fixed_delay.md","604",".md"
"core_results\F_fixed_delay_main_table\paper_fixed_delay_anchor_audit_paragraph.md","708",".md"
"core_results\F_fixed_delay_main_table\paper_leakage_audit_paragraph.md","746",".md"
"core_results\F_fixed_delay_main_table\paper_main_results_paragraph.md","1132",".md"
"core_results\G_supplement_S1_S4\quotient_122\ablation_report.md","5422",".md"
"core_results\G_supplement_S1_S4\quotient_122\abstention_metrics.csv","79",".csv"
"core_results\G_supplement_S1_S4\quotient_122\audit_phase25.json","9617",".json"
"core_results\G_supplement_S1_S4\quotient_122\audit_phase25.md","3200",".md"
"core_results\G_supplement_S1_S4\quotient_122\coverage_adjusted_metrics.csv","242",".csv"
"core_results\G_supplement_S1_S4\quotient_122\covered_ablation_holdout.csv","979",".csv"
"core_results\G_supplement_S1_S4\quotient_122\covered_holdout_metrics_by_method.csv","251",".csv"
"core_results\G_supplement_S1_S4\quotient_122\covered_holdout_metrics_by_pattern.csv","238",".csv"
"core_results\G_supplement_S1_S4\quotient_122\covered_holdout_metrics_by_seed.csv","1172",".csv"
"core_results\G_supplement_S1_S4\quotient_122\covered_holdout_pairs.csv","13874",".csv"
"core_results\G_supplement_S1_S4\quotient_122\quotient_holdout_claim_gate.json","1074",".json"
"core_results\G_supplement_S1_S4\quotient_122\table_q_rcuot_q_covered.csv","250",".csv"
"core_results\G_supplement_S1_S4\quotient_122\table_q_rcuot_q_covered.md","77",".md"
"core_results\G_supplement_S1_S4\scalability\R5_SCALABILITY_REPORT.md","3632",".md"
"core_results\G_supplement_S1_S4\scalability\R5_SCALABILITY_RESULTS.csv","13033",".csv"
"figures\_master_source\final_size_readability_check.py","1492",".py"
"figures\_master_source\make_fig4_r5_annotations.py","3694",".py"
"figures\_master_source\make_figures_phase3.py","19637",".py"
"figures\_master_source\make_figures_r5c.py","9509",".py"
"figures\_value_audit\fig1_design_note.md","6799",".md"
"figures\_value_audit\fig1_value_audit.md","1361",".md"
"figures\_value_audit\fig2_design_note.md","7099",".md"
"figures\_value_audit\fig2_value_audit.md","1254",".md"
"figures\_value_audit\fig3_design_note.md","4533",".md"
"figures\_value_audit\fig3_value_audit.md","1362",".md"
"figures\_value_audit\fig4_design_note.md","3790",".md"
"figures\_value_audit\fig4_value_audit.md","1256",".md"
"figures\_value_audit\fig5_design_note.md","4407",".md"
"figures\_value_audit\fig5_value_audit.md","1585",".md"
"figures\_value_audit\fig6_design_note.md","3551",".md"
"figures\_value_audit\fig6_value_audit.md","1471",".md"
"figures\_value_audit\FINAL_SIZE_QA.md","5869",".md"
"figures\_value_audit\R4_FIGURE_AUDIT.md","2900",".md"
"figures\_value_audit\R4_FIGURE_DATA_PROVENANCE.md","2610",".md"
"figures\_value_audit\R4_FIGURE_STYLE_GUIDE.md","2371",".md"
"figures\Fig1\Fig1_R5C_embedded.png","198622",".png"
"figures\Fig1\Fig1_R5C_r5c.png","198622",".png"
"figures\Fig1\Fig1_vector.pdf","27572",".pdf"
"figures\Fig1\Fig1_vector.svg","57864",".svg"
"figures\Fig2\Fig2_R5C_embedded.png","270059",".png"
"figures\Fig2\Fig2_R5C_r5c.png","270059",".png"
"figures\Fig2\Fig2_vector.pdf","32303",".pdf"
"figures\Fig2\Fig2_vector.svg","81695",".svg"
"figures\Fig3\Fig3_R5C_embedded.png","258497",".png"
"figures\Fig3\Fig3_vector.pdf","28682",".pdf"
"figures\Fig3\Fig3_vector.svg","73051",".svg"
"figures\Fig4\Fig4_R5C_embedded.png","282760",".png"
"figures\Fig4\Fig4_R5C_r5c.png","282760",".png"
"figures\Fig4\Fig4_vector.pdf","30683",".pdf"
"figures\Fig4\Fig4_vector.svg","65541",".svg"
"figures\Fig5\Fig5_R5C_embedded.png","489817",".png"
"figures\Fig5\Fig5_vector.pdf","40558",".pdf"
"figures\Fig5\Fig5_vector.svg","113802",".svg"
"figures\Fig6\Fig6_R5C_embedded.png","392588",".png"
"figures\Fig6\Fig6_vector.pdf","35606",".pdf"
"figures\Fig6\Fig6_vector.svg","93125",".svg"
"figures\FIGURE_INDEX.md","5319",".md"
"manuscript\CURRENT_R5C\04_experiments.md","57741",".md"
"manuscript\CURRENT_R5C\full_manuscript_final.md","123166",".md"
"manuscript\CURRENT_R5C\R5C_AUTHOR_VISUAL_QA_CHECKLIST.md","2991",".md"
"manuscript\CURRENT_R5C\R5C_FINAL_RETURN.md","8992",".md"
"manuscript\CURRENT_R5C\supplement_CN_S1_covered_quotient.md","1039",".md"
"manuscript\CURRENT_R5C\supplement_EN_S1_covered_quotient.md","1219",".md"
"manuscript\CURRENT_R5C\supplement_EN_S2_ci_sensitivity.md","1327",".md"
"manuscript\CURRENT_R5C\supplement_EN_S3_provenance_adequacy.md","6629",".md"
"manuscript\CURRENT_R5C\supplement_EN_S4_scalability.md","2855",".md"
"manuscript\CURRENT_R5C\ZN_TIFS_CN_R5_DRAFT.docx","1753518",".docx"
"manuscript\STAGE_R3\latex_main.tex","3975",".tex"
"manuscript\STAGE_R3\latex_supplementary_r3.tex","25691",".tex"
"manuscript\STAGE_R3\ZN_TIFS_CN_R3.md","32242",".md"
"manuscript\STAGE_R3\ZN_TIFS_CN_R3_TIFS_STYLE.docx","2201922",".docx"
"manuscript\STAGE_R4\R4_CN_SUPPLEMENT_CONSOLIDATED.md","9429",".md"
"manuscript\STAGE_R4\ZN_TIFS_CN_R4_PHASE3_REVIEW.docx","1852436",".docx"
"manuscript\STAGE_R4\ZN_TIFS_CN_R4_PHASE3_TEXT.md","36165",".md"
"manuscript\STAGE2_english_latex\04_experiments.tex","61841",".tex"
"manuscript\STAGE2_english_latex\04_experiments_latex_dir.tex","28993",".tex"
"manuscript\STAGE2_english_latex\04_experiments_MAIN.tex","61841",".tex"
"manuscript\STAGE2_english_latex\main_compiled.pdf","2253196",".pdf"
"manuscript\STAGE2_english_latex\supplementary.tex","14006",".tex"
"PACKAGE_QC_REPORT.md","7065",".md"
"provenance\ARCHIVE_INDEX.csv","7686088",".csv"
"provenance\check_claim_boundaries.py","5562",".py"
"provenance\CLAIM_BOUNDARY.md","2912",".md"
"provenance\claim_boundary_summary.md","25993",".md"
"provenance\EXCLUDED_LARGE_RAW_DATA.csv","6974873",".csv"
"provenance\FIGURE_PROVENANCE_AUDIT.md","4201",".md"
"provenance\HASH_MANIFEST_dual_scaling.json","1407",".json"
"provenance\PAPER_EXPERIMENTS_RESULTS_MANIFEST.json","2203691",".json"
"provenance\preaudit_hashes_cost_diag.json","29471",".json"
"provenance\PRIOR_ART_CONTROL_HASHES.json","626",".json"
"provenance\RUN_MANIFEST_cost_diag.md","4272",".md"
"provenance\RUN_MANIFEST_dual_scaling_diag.md","3154",".md"
"provenance\RUN_MANIFEST_structural_baseline_study.md","7448",".md"
"provenance\RUN_MANIFEST_structural_benchmark.md","6768",".md"
"provenance\TABLE_FIGURE_PROVENANCE_audit.md","32428",".md"
"provenance\TABLE_PROVENANCE_AUDIT.md","6423",".md"
"provenance\V5_HASH_MANIFEST.json","2747",".json"
"provenance\论文实验部分结果与数据表格汇总.md","10474",".md"
"README.md","21458",".md"
"reproducibility\ARCHIVE_REPRODUCIBILITY_INDEX.md","3210",".md"
"reproducibility\code\build_comparison_table.py","2338",".py"
"reproducibility\code\build_flow_aggregation.py","15279",".py"
"reproducibility\code\compute_ece.py","12753",".py"
"reproducibility\code\confirmatory_artifacts\run_locked_holdout.py","17003",".py"
"reproducibility\code\confirmatory_artifacts\verify_locked_temporal_external_validation.py","2047",".py"
"reproducibility\code\cross_aml\abstention.py","1691",".py"
"reproducibility\code\cross_aml\coverage.py","2531",".py"
"reproducibility\code\cross_aml\feature_builder.py","3470",".py"
"reproducibility\code\cross_aml\flow_builder.py","4861",".py"
"reproducibility\code\cross_aml\quotient_builder.py","1875",".py"
"reproducibility\code\cross_aml\rcuotq_matcher.py","3199",".py"
"reproducibility\code\cross_aml\test_abstention.py","1222",".py"
"reproducibility\code\cross_aml\test_coverage.py","1407",".py"
"reproducibility\code\holdout_common.py","10980",".py"
"reproducibility\code\INDEX.md","14029",".md"
"reproducibility\code\pyproject.toml","850",".toml"
"reproducibility\code\requirements.txt","71",".txt"
"reproducibility\code\run.py","950",".py"
"reproducibility\code\run_amount_free_dev.py","10250",".py"
"reproducibility\code\run_attribution_audit.py","24614",".py"
"reproducibility\code\run_baseline_compare_phase1_7_qa.py","13485",".py"
"reproducibility\code\run_baseline_compare_phase1_connector.py","21279",".py"
"reproducibility\code\run_cost_forensic_audit.py","14600",".py"
"reproducibility\code\run_coverage_precision_curve.py","2803",".py"
"reproducibility\code\run_dual_scaling_decomposition.py","10741",".py"
"reproducibility\code\run_ec_uot_q_final.py","30961",".py"
"reproducibility\code\run_faithful_flow_structural.py","9458",".py"
"reproducibility\code\run_flow_structural_three_bridges.py","9313",".py"
"reproducibility\code\run_locked_holdout.py","17003",".py"
"reproducibility\code\run_locked_temporal_external_validation.py","10365",".py"
"reproducibility\code\run_m1_factorial.py","11631",".py"
"reproducibility\code\run_m1_matched_recall_precision.py","47881",".py"
"reproducibility\code\run_m1_solver_ablation.py","21197",".py"
"reproducibility\code\run_multi_bridge_masking.py","6795",".py"
"reproducibility\code\run_one_to_one_flow_baselines.py","5775",".py"
"reproducibility\code\run_phase29_robust_rcuot_superiority.py","48632",".py"
"reproducibility\code\run_plan_quality_audit.py","21685",".py"
"reproducibility\code\run_routeA_symmetric_masking_v2.py","35172",".py"
"reproducibility\code\run_structural_baselines.py","6348",".py"
"reproducibility\code\tifs_external_v4_finalize.py","5775",".py"
"reproducibility\code\tifs_external_v4_preflight.py","19988",".py"
"reproducibility\code\tifs_external_v5_preflight.py","25603",".py"
"reproducibility\code\verify_decoder_plan_quality_audit.py","10903",".py"
"reproducibility\code\verify_flow_aggregation_gt.py","7710",".py"
"reproducibility\code\verify_locked_holdout.py","12914",".py"
"reproducibility\code\verify_structural_results.py","9568",".py"
"reproducibility\code\verify_temporal_external_gt.py","9544",".py"
"reproducibility\R5C_REPRODUCIBILITY_BUNDLE_MANIFEST.md","20196",".md"
"reproducibility\V3_EXECUTION_FAILURE_ADJUDICATION.md","1664",".md"
"reviews\CHAPTER5_REVISION_R5.md","70127",".md"
"reviews\FINAL_AUTHOR_BLOCKERS_V2.md","2558",".md"
"reviews\FINAL_AUTHOR_DECISION_REPORT.md","8400",".md"
"reviews\FINAL_BASELINE_CONSTANT_PROVENANCE.md","4952",".md"
"reviews\FINAL_HOSTILE_REVIEW.md","13443",".md"
"reviews\PRE_SUBMISSION_AUTHOR_DECISION_AUDIT.md","32423",".md"
"reviews\R5_BASELINE_FAIRNESS_PROTOCOL.md","7974",".md"
"reviews\R5_FIRST_ROUND_RETURN.md","12145",".md"
"reviews\R5_HOSTILE_REVIEW_SYNTHESIS.md","9732",".md"
"reviews\R5_STRUCTURAL_CLAIM_AUDIT.md","6590",".md"
"reviews\R5_TIFS_PRE_REVIEW_GAP_MATRIX.md","23474",".md"
"reviews\R5B_FINAL_RETURN.md","9166",".md"
"reviews\R5C_AUTHOR_VISUAL_QA_CHECKLIST.md","2991",".md"
"reviews\R5C_FINAL_RETURN.md","8992",".md"
"reviews\R5C_FINAL_SUBMISSION_HOSTILE_REVIEW.md","7864",".md"
"reviews\R5C_V5_ADEQUACY_FORMULA_AUDIT.md","4226",".md"
"reviews\RISK_REGISTER_consolidated.md","64174",".md"
"reviews\TIFS_EXPERIMENT_REVIEW_R5.md","62947",".md"
"reviews\TIFS_SUPPLEMENT_CHECKLIST.md","5901",".md"
"tables\Coverage_precision_curve.csv","1414",".csv"
"tables\Decoder_comparison_locked_test.md","3368",".md"
"tables\Decoder_comparison_main_table.json","5637",".json"
"tables\Decoder_comparison_table.md","1962",".md"
"tables\Decoder_comparison_tradeoff.csv","2372",".csv"
"tables\FINAL_TABLE4_BASELINE_FAIRNESS_AUDIT.md","7064",".md"
"tables\Table_CN3_threebridge_edgeinclusion.csv","306",".csv"
"tables\Table_CN6_EN2e_confirmatory_methods.md","1457",".md"
"tables\Table_CN8_EN4_statistical_tests.csv","1139",".csv"
"tables\Table_CN8_EN4_statistical_tests.json","3170",".json"
